kf,stamp,x,y,theta,sensor,fe,verifier,proposer,quality
269,1782485207.774157,26.0485,0.1567,-0.56947,lidar,native_s2s,icp,proximity,0.809
270,1782485208.181571,26.1346,0.0734,-0.79693,lidar,native_s2s,icp,proximity,0.7791
271,1782485209.010748,26.3028,-0.1365,-0.94133,lidar,native_s2s,icp,proximity,0.7989
272,1782485209.326892,26.3692,-0.2589,-1.17324,lidar,native_s2s,icp,proximity,0.7479
273,1782485210.054014,26.4276,-0.5344,-1.4331,lidar,native_s2s,icp,proximity,0.7169
274,1782485210.782315,26.4211,-0.8063,-1.56852,lidar,native_s2s,icp,proximity,0.7683
275,1782485211.51097,26.3995,-1.0901,-1.69356,lidar,native_s2s,icp,proximity,0.7783
276,1782485212.033331,26.3439,-1.2561,-1.96714,lidar,native_s2s,icp,proximity,0.7122
277,1782485212.663725,26.2003,-1.4413,-2.22253,lidar,native_s2s,icp,proximity,0.7411
278,1782485213.077168,26.0904,-1.5248,-2.49536,lidar,native_s2s,icp,proximity,0.7692
279,1782485213.493739,25.9647,-1.5692,-2.76445,lidar,native_s2s,icp,proximity,0.7557
280,1782485213.910824,25.8269,-1.609,-2.9771,lidar,native_s2s,icp,proximity,0.7171
281,1782485214.634217,25.5529,-1.647,-3.04216,lidar,native_s2s,icp,proximity,0.7003
282,1782485215.047891,25.4001,-1.7041,-2.82993,lidar,native_s2s,icp,proximity,0.6913
283,1782485215.678171,25.1283,-1.8085,-2.71506,lidar,native_s2s,icp,proximity,0.6647
284,1782485216.193135,24.9207,-1.9243,-2.50174,lidar,native_s2s,icp,proximity,0.6731
285,1782485216.610047,24.8312,-2.1376,-2.22894,lidar,native_s2s,icp,proximity,0.7722
286,1782485217.027922,24.7727,-2.3035,-1.96472,lidar,native_s2s,icp,proximity,0.725
287,1782485217.449936,24.7423,-2.4735,-1.73951,lidar,native_s2s,icp,proximity,0.7105
288,1782485218.083315,24.6998,-2.7351,-1.73434,lidar,native_s2s,icp,proximity,0.8257
