pair_id,t_query,t_cand,n_runs,ever_accepted
439,1782492117.773,1782492071.226,2,1
440,1782492117.773,1782492072.578,2,2
441,1782492117.773,1782492073.204,2,2
442,1782492118.084,1782492070.286,1,0
443,1782492118.084,1782492071.226,3,2
444,1782492118.084,1782492072.578,3,1
445,1782492118.084,1782492073.204,2,1
446,1782492120.286,1782492069.040,1,0
447,1782492120.286,1782492070.187,1,0
448,1782492120.286,1782492071.226,1,0
449,1782492120.286,1782492073.204,1,1
450,1782492120.286,1782492073.621,2,2
451,1782492120.286,1782492074.141,2,2
452,1782492120.286,1782492075.183,1,1
453,1782492120.491,1782492073.204,3,3
454,1782492120.491,1782492073.621,3,3
455,1782492120.491,1782492074.141,3,3
456,1782492121.423,1782492073.849,3,1
457,1782492122.089,1782492074.517,3,2
458,1782492122.089,1782492075.850,3,2
459,1782492122.755,1782492074.517,3,2
460,1782492122.755,1782492075.850,3,2
461,1782492122.755,1782492076.854,3,2
462,1782492123.487,1782492075.850,3,2
463,1782492123.487,1782492076.854,3,2
464,1782492123.948,1782492074.141,1,0
465,1782492123.948,1782492075.183,2,0
466,1782492123.948,1782492076.227,3,2
467,1782492123.948,1782492077.173,2,1
468,1782492123.948,1782492078.004,1,1
469,1782492124.219,1782492076.854,3,2
470,1782492124.579,1782492076.336,3,3
471,1782492124.579,1782492077.479,3,3
472,1782492124.579,1782492078.426,3,3
473,1782492124.887,1782492077.656,3,1
474,1782492124.887,1782492078.323,3,1
475,1782492125.554,1782492078.323,3,0
476,1782492126.981,1782492078.532,3,1
477,1782492126.981,1782492079.164,3,2
478,1782492126.981,1782492080.616,3,2
479,1782492127.500,1782492078.426,1,0
480,1782492127.500,1782492078.951,3,2
481,1782492127.500,1782492080.198,3,3
482,1782492127.500,1782492081.754,2,2
483,1782492131.335,1782492082.892,3,1
484,1782492131.335,1782492083.517,3,1
485,1782492131.335,1782492084.144,3,1
486,1782492132.363,1782492082.892,3,2
487,1782492132.363,1782492083.517,3,2
488,1782492132.363,1782492084.144,3,2
489,1782492135.189,1782492099.134,1,1
490,1782492135.189,1782492100.182,2,1
491,1782492135.189,1782492101.436,3,2
492,1782492135.189,1782492102.372,2,1
493,1782492135.189,1782492103.415,1,1
494,1782492136.765,1782492102.268,3,2
495,1782492136.765,1782492103.623,3,2
496,1782492136.765,1782492104.882,3,2
497,1782492139.170,1782492049.571,1,0
498,1782492139.170,1782492050.927,2,1
499,1782492139.170,1782492052.076,2,1
