# dataset_name=lab_run_2
# dataset_scan_variant=raw
# dataset_scan_file=/home/kaushik/slam_ws/datasets/lab_run_2/scans.carmen
# matcher_type=scan_to_submap
k t x y theta score inliers dx dy dtheta do_insert did_insert
164 1776785643.618097 0.831574 -0.283618 -0.139544 0.821510 196 -0.017869 0.000442 -0.004005 1 1
165 1776785643.721863 0.860503 -0.290399 -0.140917 0.818732 196 -0.021071 -0.006781 -0.001372 1 1
166 1776785643.825356 0.889991 -0.292301 -0.140356 0.837776 195 -0.020513 -0.001902 0.000561 1 1
167 1776785643.929924 0.915598 -0.298108 -0.142677 0.848434 196 -0.024393 -0.005807 -0.002321 1 1
168 1776785644.039786 0.943088 -0.301023 -0.145929 0.829799 194 -0.022510 -0.002915 -0.003252 1 1
169 1776785644.139722 0.973848 -0.304902 -0.147138 0.845190 200 -0.019240 -0.003879 -0.001208 0 0
170 1776785644.244430 1.011420 -0.302187 -0.148460 0.841572 202 -0.012427 0.002715 -0.001322 1 1
171 1776785644.357076 1.032788 -0.312218 -0.153421 0.797179 197 -0.028632 -0.010031 -0.004961 1 1
172 1776785644.460757 1.070832 -0.317065 -0.151957 0.840897 197 -0.011956 -0.004847 0.001463 1 1
173 1776785644.564750 1.092722 -0.327585 -0.153765 0.809811 201 0.021891 -0.010520 -0.001808 1 1
174 1776785644.664955 1.124898 -0.328921 -0.157613 0.829938 197 -0.017825 -0.001336 -0.003848 1 1
175 1776785644.768520 1.155319 -0.332776 -0.159483 0.809658 199 -0.019579 -0.003855 -0.001870 1 1
176 1776785644.878128 1.185414 -0.340556 -0.163574 0.776138 201 -0.019905 -0.007780 -0.004091 1 1
177 1776785644.978410 1.217551 -0.340768 -0.167977 0.786426 195 -0.017863 -0.000212 -0.004403 1 1
178 1776785645.083081 1.248026 -0.350994 -0.173581 0.794222 204 -0.019525 -0.010226 -0.005604 1 1
179 1776785645.187705 1.278353 -0.356914 -0.179881 0.771930 202 -0.019672 -0.005920 -0.006300 1 1
180 1776785645.291410 1.310493 -0.363284 -0.181163 0.838196 199 -0.017861 -0.006370 -0.001282 1 1
181 1776785645.403001 1.344333 -0.369990 -0.184934 0.801628 205 -0.016160 -0.006706 -0.003771 1 1
182 1776785645.504959 1.373257 -0.372961 -0.189642 0.792784 207 -0.021077 -0.002970 -0.004708 1 1
183 1776785645.609767 1.406649 -0.379843 -0.193981 0.811660 204 -0.016608 -0.006882 -0.004339 1 1
184 1776785645.714020 1.440297 -0.388511 -0.198762 0.806012 197 -0.016352 -0.008668 -0.004781 1 1
185 1776785645.814777 1.470329 -0.395587 -0.204420 0.794947 196 -0.019968 -0.007077 -0.005658 1 1
186 1776785645.919707 1.501391 -0.402570 -0.207603 0.816541 198 -0.018939 -0.006983 -0.003183 1 1
187 1776785646.024199 1.535004 -0.406272 -0.209704 0.809972 196 -0.016386 -0.003702 -0.002102 1 1
188 1776785646.128081 1.560092 -0.411622 -0.214867 0.764616 200 -0.024912 -0.005350 -0.005162 1 1
189 1776785646.231631 1.597710 -0.415777 -0.216461 0.815729 202 -0.012382 -0.004154 -0.001594 1 1
190 1776785646.339118 1.618521 -0.429036 -0.230009 0.766377 202 0.020811 -0.013259 0.006452 1 1
191 1776785646.440854 1.644923 -0.434199 -0.287135 0.717549 200 -0.023598 -0.005164 0.012874 1 1
192 1776785646.547129 1.658172 -0.452071 -0.361719 0.701740 204 0.013249 -0.017872 -0.004584 1 1
193 1776785646.651616 1.684269 -0.472300 -0.433039 0.727349 200 -0.023904 -0.020229 -0.001319 1 1
194 1776785646.755294 1.707151 -0.496999 -0.498639 0.718553 195 -0.027117 -0.024700 0.004400 1 1
195 1776785646.859689 1.723617 -0.516693 -0.555694 0.741102 197 0.016465 -0.019694 0.012945 1 1
196 1776785646.968663 1.740915 -0.530356 -0.619427 0.743520 189 0.017299 -0.013663 0.006268 1 1
197 1776785647.068923 1.763070 -0.552075 -0.681952 0.774994 190 -0.027845 -0.021720 0.007475 1 1
198 1776785647.173309 1.773314 -0.572464 -0.736059 0.790708 188 0.010244 -0.020389 -0.004107 1 1
199 1776785647.283028 1.786078 -0.597453 -0.801460 0.732306 188 0.012764 -0.024989 0.004599 1 1
200 1776785647.387476 1.796119 -0.616383 -0.865487 0.750092 194 0.010041 -0.018929 -0.004027 1 1
201 1776785647.487810 1.805511 -0.637296 -0.929668 0.742559 196 0.009393 -0.020914 0.005820 1 1
202 1776785647.596651 1.817899 -0.660624 -0.994899 0.736245 192 -0.037612 -0.023328 0.004769 1 1
203 1776785647.696318 1.835228 -0.654342 -1.065176 0.716763 193 0.017329 0.006282 -0.000278 0 0
204 1776785647.799798 1.851840 -0.688031 -1.115342 0.760424 204 0.016612 0.016311 -0.000166 1 1
205 1776785647.905914 1.863738 -0.718260 -1.133221 0.792575 188 0.011898 0.019771 0.002121 1 1
206 1776785648.009000 1.877025 -0.740006 -1.144838 0.767567 189 0.013287 0.028254 -0.011617 1 1
207 1776785648.112317 1.884570 -0.769933 -1.157168 0.823611 187 0.007546 0.020073 -0.012329 1 1
208 1776785648.215869 1.900351 -0.799308 -1.172839 0.797315 192 0.015780 0.020625 0.004329 1 1
209 1776785648.320164 1.905915 -0.836597 -1.184970 0.828238 186 0.005565 0.012710 0.007869 1 1
